"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"PRKCA",1.68997940571989e-21,1.72108996661962,0.592,0.065,5.53265457844578e-17,"0","PRKCA"
"ITCH",2.66255474520143e-20,1.4302084134465,0.816,0.174,8.71667172484044e-16,"0","ITCH"
"ABL2",2.67382977906407e-20,1.50639077102961,0.643,0.095,8.75358393069996e-16,"0","ABL2"
"ALCAM",3.01073308359937e-20,1.67208053296348,0.714,0.124,9.85653796908763e-16,"0","ALCAM"
"FARS2",8.52826477512617e-20,1.48700712472277,0.684,0.114,2.7919833220808e-15,"0","FARS2"
"UBE2G1",9.38092960644993e-20,1.28461178182462,0.714,0.134,3.07112873455958e-15,"0","UBE2G1"
"SETD5",3.1578798960807e-19,1.25227946291522,0.816,0.189,1.0338267203789e-14,"0","SETD5"
"CDC42BPA",3.47113655258594e-19,1.36569259750804,0.776,0.169,1.13638068458558e-14,"0","CDC42BPA"
"DNAJC1",3.66262349818714e-19,0.778308403907601,0.633,0.104,1.19906968083651e-14,"0","DNAJC1"
"AGO2",3.8401563832737e-19,1.67700250514579,0.673,0.124,1.25719039675615e-14,"0","AGO2"
"ASH1L",3.87144971663963e-19,1.27729709325115,0.827,0.204,1.26743520823348e-14,"0","ASH1L"
"ZFYVE9",7.02102124970366e-19,1.8581492989087,0.48,0.04,2.29854193672798e-14,"0","ZFYVE9"
"MCU",8.76022154418011e-19,1.44179596929675,0.663,0.114,2.86792132913369e-14,"0","MCU"
"UPK3B",1.48058179004228e-18,1.7461930047143,0.653,0.109,4.84712866424042e-14,"0","UPK3B"
"PRRC2B",1.79334901821005e-18,1.20688914353008,0.704,0.134,5.87106601581606e-14,"0","PRRC2B"
"CCDC41",1.90800685169542e-18,1.01708441465041,0.643,0.114,6.24643283108047e-14,"0","CCDC41"
"EXT1",2.29501455355675e-18,1.17917030324755,0.724,0.144,7.51341864543409e-14,"0","EXT1"
"C9orf3",2.4341009294506e-18,1.54389777066945,0.633,0.109,7.96875962283539e-14,"0","C9orf3"
"ZMYM2",2.68462859267683e-18,1.3094165484566,0.622,0.1,8.78893708670541e-14,"0","ZMYM2"
"PITPNC1",4.57785758391757e-18,1.50876191094084,0.776,0.184,1.49869901582293e-13,"0","PITPNC1"
"NRF1",4.88581028975247e-18,1.58774470824108,0.633,0.109,1.59951657265916e-13,"0","NRF1"
"AC004158.2",5.33094147564013e-18,2.24406290095538,0.541,0.07,1.74524362029507e-13,"0","AC004158.2"
"USP36",5.91936797382008e-18,1.8103364440352,0.551,0.08,1.93788268726922e-13,"0","USP36"
"PPP6R2",6.28361916376778e-18,1.01564417661413,0.704,0.139,2.05713124183429e-13,"0","PPP6R2"
"EP300",8.38903788798752e-18,1.95945825175769,0.5,0.06,2.74640322376936e-13,"0","EP300"
"ANO6",8.39923723136344e-18,1.79206479756531,0.5,0.055,2.74974228480376e-13,"0","ANO6"
"ARHGAP10",9.40989995110645e-18,1.29604393773706,0.755,0.179,3.08061304599323e-13,"0","ARHGAP10"
"IQCB1",1.10179010023032e-17,0.927042956555852,0.592,0.09,3.60704043013403e-13,"0","IQCB1"
"FOXJ3",1.32859985524618e-17,1.5054684699089,0.653,0.124,4.34957020610495e-13,"0","FOXJ3"
"FANCI",1.39435434021779e-17,1.36906422313979,0.694,0.144,4.56483723900501e-13,"0","FANCI"
"SIK3",1.65575797175779e-17,1.01349448857852,0.735,0.149,5.42062044794067e-13,"0","SIK3"
"TRPM7",1.74128846766169e-17,1.27511313996368,0.673,0.129,5.70063018543083e-13,"0","TRPM7"
"AKAP9",1.93260658008038e-17,0.970212747304494,0.653,0.119,6.32696742186713e-13,"0","AKAP9"
"NSD1",2.00015810785072e-17,0.97981261140296,0.724,0.154,6.54811761348168e-13,"0","NSD1"
"KIF1B",3.45634191127465e-17,1.35492269403836,0.571,0.095,1.13153721491309e-12,"0","KIF1B"
"ME1",3.73151209025994e-17,0.884030737504527,0.694,0.159,1.2216224281093e-12,"0","ME1"
"GPR110",4.20373201702705e-17,1.09174193451039,0.551,0.085,1.37621778773432e-12,"0","GPR110"
"RFWD2",4.28361415590596e-17,1.31229608628578,0.673,0.134,1.40236960236049e-12,"0","RFWD2"
"RP11-761E20.1",6.58742616526057e-17,1.46913408998107,0.633,0.119,2.15659157798301e-12,"0","RP11-761E20.1"
"CENPP",7.05731714434416e-17,1.67390946591677,0.541,0.085,2.31042448671539e-12,"0","CENPP"
"PARD3",7.38967203334018e-17,1.07563034562649,0.918,0.274,2.41923083027491e-12,"0","PARD3"
"BRAF",7.55320814681241e-17,0.975732728403316,0.714,0.144,2.47276928310345e-12,"0","BRAF"
"ADNP",7.65862990091153e-17,1.18582132390271,0.704,0.159,2.50728225696042e-12,"0","ADNP"
"MPP6",8.18645269590893e-17,0.990556951111612,0.714,0.159,2.68008088358667e-12,"0","MPP6"
"INADL",8.76973107173917e-17,1.30482418414725,0.643,0.119,2.87103455826597e-12,"0","INADL"
"ARHGEF12",9.5338980377686e-17,0.911843456930914,0.724,0.169,3.12120753960469e-12,"0","ARHGEF12"
"LDLRAD3",1.03055863051325e-16,1.74673425226657,0.561,0.09,3.37384284457428e-12,"0","LDLRAD3"
"HS6ST2",1.09794885378974e-16,0.84368797341397,0.786,0.189,3.59446495753687e-12,"0","HS6ST2"
"C15orf41",1.3129130270013e-16,0.82355846275434,0.643,0.119,4.29821466779686e-12,"0","C15orf41"
"ZNF385B",1.45683521467924e-16,2.45770148873399,0.429,0.04,4.76938712581689e-12,"0","ZNF385B"
"TRAF3",1.57350188404175e-16,1.26884877920222,0.673,0.139,5.15133046797587e-12,"0","TRAF3"
"DOCK5",1.79616525936211e-16,1.16980784502666,0.776,0.184,5.88028582609966e-12,"0","DOCK5"
"ATP9B",1.85183309419965e-16,1.12886946993218,0.602,0.1,6.06253118379083e-12,"0","ATP9B"
"GATAD2A",1.97783364190038e-16,0.766407543043599,0.765,0.184,6.47503177685347e-12,"0","GATAD2A"
"GREB1L",2.00804272805682e-16,1.46141011632044,0.663,0.139,6.57393028311241e-12,"0","GREB1L"
"ARHGAP32",2.07300982357455e-16,0.622431840084207,0.612,0.109,6.78661956041837e-12,"0","ARHGAP32"
"MKL2",2.38412159661353e-16,1.00751729922007,0.602,0.1,7.80513728299338e-12,"0","MKL2"
"SPIDR",2.38955035677905e-16,1.16201946643813,0.888,0.274,7.82290995802324e-12,"0","SPIDR"
"DYM",2.56784738763533e-16,1.21147419463801,0.571,0.1,8.40661877764055e-12,"0","DYM"
"IGF2BP3",2.57726059842553e-16,1.36186414109864,0.806,0.224,8.43743574712549e-12,"0","IGF2BP3"
"MBTPS1",2.60071123143563e-16,1.38963043410929,0.541,0.085,8.51420842947398e-12,"0","MBTPS1"
"RASAL2",2.67016081938593e-16,1.17837208647033,0.663,0.134,8.74157249050565e-12,"0","RASAL2"
"RABGAP1L",2.7235726764744e-16,1.14951788140164,0.765,0.179,8.91643222824189e-12,"0","RABGAP1L"
"TYW1",3.043969701641e-16,1.70252045050253,0.531,0.08,9.96534800923232e-12,"0","TYW1"
"KMT2C",3.40756834283722e-16,1.59164455769836,0.602,0.114,1.11556972407805e-11,"0","KMT2C"
"PIGL",3.91731312583952e-16,1.66893429405754,0.5,0.07,1.28244997113734e-11,"0","PIGL"
"CAMK2D",4.69188147694476e-16,1.11098631446054,0.745,0.189,1.53602815792218e-11,"0","CAMK2D"
"XPO4",4.73038294627722e-16,1.15155090308203,0.694,0.149,1.54863276895223e-11,"0","XPO4"
"AC011043.1",5.55270782900637e-16,1.25461874266809,0.582,0.1,1.8178454890601e-11,"0","AC011043.1"
"PDSS2",5.92735759860671e-16,1.00649870832769,0.643,0.124,1.94049833063186e-11,"0","PDSS2"
"RERE",6.51575955847778e-16,0.716367845925207,0.816,0.219,2.13312936425446e-11,"0","RERE"
"UIMC1",6.80055288235957e-16,0.899852392891886,0.653,0.139,2.22636500262688e-11,"0","UIMC1"
"FBXW7",6.86966794162512e-16,1.18917154441156,0.735,0.184,2.24899189072923e-11,"0","FBXW7"
"CTDSPL2",7.24118408714632e-16,0.567554201880607,0.704,0.154,2.37061884644996e-11,"0","CTDSPL2"
"PUM1",7.45684207789375e-16,1.05283122446931,0.816,0.239,2.44122095946086e-11,"0","PUM1"
"DPH6",8.25802754061848e-16,1.34325241727358,0.602,0.119,2.70351305624768e-11,"0","DPH6"
"CSPP1",8.50327737439172e-16,0.942414593391951,0.837,0.219,2.78380294682836e-11,"0","CSPP1"
"APC",8.64318513435173e-16,1.6267963810284,0.469,0.055,2.82960594928407e-11,"0","APC"
"NFAT5",8.94417889464192e-16,1.25068268372243,0.918,0.348,2.92814528652787e-11,"0","NFAT5"
"PTPN1",9.21197722556353e-16,1.09340481031112,0.612,0.124,3.01581710410499e-11,"0","PTPN1"
"TANC2",9.46904953801077e-16,1.37526218504091,0.673,0.154,3.09997743775397e-11,"0","TANC2"
"AMBRA1",9.591610309678e-16,0.927446331017659,0.582,0.109,3.14010138318238e-11,"0","AMBRA1"
"TRAPPC9",9.93067293070712e-16,1.39232940349074,0.684,0.154,3.2511037040549e-11,"0","TRAPPC9"
"NPC1",1.01346767660706e-15,5.853074641228,0.306,0.005,3.3178904796762e-11,"0","NPC1"
"KANK1",1.10286362302571e-15,1.05995384405461,0.714,0.159,3.61055492906158e-11,"0","KANK1"
"KIF18A",1.14644793334297e-15,1.23150969979092,0.612,0.124,3.75324124417822e-11,"0","KIF18A"
"WHSC1L1",1.1496679415377e-15,0.717616289238198,0.643,0.129,3.76378290700612e-11,"0","WHSC1L1"
"ARHGAP26",1.16776473420902e-15,1.08568198735997,0.653,0.139,3.82302818685349e-11,"0","ARHGAP26"
"GPBP1",1.28187066226042e-15,0.934428760805659,0.724,0.179,4.19658817410815e-11,"0","GPBP1"
"VPS13B",1.3606175181814e-15,1.08861985201983,0.857,0.239,4.45438963102227e-11,"0","VPS13B"
"POLQ",1.55763906189166e-15,1.15300917779142,0.531,0.085,5.09939876082091e-11,"0","POLQ"
"CMIP",1.62037921703625e-15,1.22277076567867,0.724,0.184,5.30479748073328e-11,"0","CMIP"
"RP11-268G12.1",1.69882251113271e-15,1.54795660691473,0.459,0.055,5.56160513694627e-11,"0","RP11-268G12.1"
"MELK",1.79524551468823e-15,0.648970673109653,0.755,0.199,5.87727476598632e-11,"0","MELK"
"ATP2B1",1.877926448487e-15,0.938557873428141,0.673,0.159,6.14795560705675e-11,"0","ATP2B1"
"VWA8",1.96403496306719e-15,1.04871409399437,0.684,0.149,6.42985766208936e-11,"0","VWA8"
"STK24",2.10447647347647e-15,1.0733964632902,0.663,0.159,6.88963507886728e-11,"0","STK24"
"CTNND1",2.21185054436319e-15,1.13001630395304,0.52,0.09,7.24115631213622e-11,"0","CTNND1"
"DNAJC11",2.38406017927516e-15,1.19125884659292,0.592,0.119,7.80493621491103e-11,"0","DNAJC11"
