"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","significance"
"CANT1",4.73146475474292e-101,-1.29444299943536,1,1,7.10334803629555e-97,"Significant"
"DDX5",8.71882587476787e-99,-1.29884686518217,1,1,1.3089573285789e-94,"Significant"
"PSMD3",3.75690676117549e-96,-0.989080887073793,1,1,5.64024412055276e-92,"Significant"
"ORMDL3",4.04939424396924e-96,-1.12021418634373,1,1,6.07935557847102e-92,"Significant"
"ERBB2",1.17124059537347e-95,-1.24849335505307,1,1,1.75838350583419e-91,"Significant"
"LASP1",1.35315789868835e-95,-1.18788980554995,1,1,2.03149595330083e-91,"Significant"
"FASN",5.38923504868901e-94,-1.19979284149705,1,1,8.09085857859682e-90,"Significant"
"SYNGR2",6.14080475811146e-94,-1.07477456484671,1,1,9.21919018335274e-90,"Significant"
"MT-CO2",9.26485634251226e-94,-0.918233964381044,1,1,1.39093288270137e-89,"Significant"
"ARHGAP8",3.53564506161648e-93,-1.20498889677548,0.998,1,5.30806393100483e-89,"Significant"
"AMBP",3.61676973718468e-93,-1.71642343171973,0.993,1,5.42985640643536e-89,"Significant"
"RHOBTB3",4.54134700145002e-93,-1.17757813982928,1,1,6.81792425327691e-89,"Significant"
"SGSH",4.0070398547132e-92,-1.10599343595966,1,1,6.01576893388093e-88,"Significant"
"ACSF2",2.52332699569336e-91,-1.35618128507601,0.998,1,3.78827081863444e-87,"Significant"
"AKAP1",2.2898002411637e-90,-1.11522054484802,1,1,3.43767710205906e-86,"Significant"
"MLLT6",9.81972212093899e-90,-0.945049661696576,1,1,1.47423488201657e-85,"Significant"
"CYB561",1.54420724850544e-89,-1.07169506680363,1,1,2.31831834218122e-85,"Significant"
"GRB7",7.64426492609744e-89,-1.13492100408213,1,1,1.14763349335501e-84,"Significant"
"MLPH",1.32091787285669e-88,-1.09883187366719,1,1,1.98309400251975e-84,"Significant"
"TOB1",2.39717270541323e-88,-1.1607017847632,1,1,3.59887538263688e-84,"Significant"
"SPINT2",3.06816555433806e-88,-1.02405476859348,1,1,4.60623694672773e-84,"Significant"
"CASC3",6.43300173316794e-88,-0.993436702543194,1,1,9.65786550200502e-84,"Significant"
"BCAM",1.61975810626903e-87,-1.09400678987802,1,1,2.43174284494169e-83,"Significant"
"RGS16",3.57701052064588e-87,-1.24189012903463,1,1,5.37016589464567e-83,"Significant"
"FXYD3",9.41838849428232e-87,-1.13831262641969,0.998,1,1.4139826646466e-82,"Significant"
"CCDC47",3.38164286748476e-85,-1.05818123505138,1,1,5.07686043695487e-81,"Significant"
"GSDMB",3.83494327894681e-85,-1.14779279363859,1,1,5.75740034468285e-81,"Significant"
"CDK12",1.46367976806661e-84,-0.994136422041017,1,1,2.1974224357984e-80,"Significant"
"MT-ND4",1.06070766593715e-83,-0.731985464964447,1,1,1.59244041887145e-79,"Significant"
"PGAP3",1.52214564617614e-83,-0.948801860745034,1,1,2.28519725860424e-79,"Significant"
"PCGF2",9.91661902479108e-82,-1.00036596985836,1,1,1.48878201419189e-77,"Significant"
"DCXR",6.14168351352347e-81,-1.04014173157031,1,1,9.22050945885279e-77,"Significant"
"ESR1",2.41398506472376e-80,-0.894869217707884,1,1,3.62411577766978e-76,"Significant"
"RPTOR",7.00590464249933e-80,-0.89660021554544,1,1,1.05179646397842e-75,"Significant"
"BAG1",7.92271819172327e-80,-0.933785308035437,1,1,1.18943768212341e-75,"Significant"
"MT-ATP6",1.83563852849377e-79,-0.774958508520541,1,1,2.7558441228277e-75,"Significant"
"CCDC78",1.06537615753341e-78,-1.17359193069019,1,1,1.59944922530492e-74,"Significant"
"MIEN1",1.09700194635929e-78,-0.919480505325565,1,1,1.6469290220692e-74,"Significant"
"PBX1",2.42186505717102e-78,-0.995546862100075,0.998,1,3.63594601033085e-74,"Significant"
"KRT8",2.69395870221622e-78,-0.941950054297777,1,1,4.04444019963722e-74,"Significant"
"H2AFJ",3.57993126078432e-78,-0.871777187995157,1,1,5.3745508018155e-74,"Significant"
"PSMC5",3.35626725249388e-77,-0.871152438848116,1,1,5.03876402616906e-73,"Significant"
"GPRC5A",7.33254393565888e-77,-1.02132736243658,1,1,1.10083482106047e-72,"Significant"
"EIF4A3",7.97565422999636e-77,-0.928722872763404,1,1,1.19738496954935e-72,"Significant"
"SREBF1",1.23252752283051e-76,-1.00550120367475,1,1,1.85039357002544e-72,"Significant"
"AFF3",2.67623335624413e-76,-0.876598140122352,1,1,4.01782913772931e-72,"Significant"
"TFF3",6.09029165930374e-76,-1.11657237292796,0.998,1,9.1433548681127e-72,"Significant"
"S100P",1.11575541449699e-75,-1.02375741451185,1,1,1.67508360378433e-71,"Significant"
"MT-ND6",1.22158528936934e-75,-1.17945581390492,1,1,1.83396599493019e-71,"Significant"
"GSE1",1.53506244189328e-75,-0.936091937858491,1,1,2.30458924401438e-71,"Significant"
"MSL1",2.10573147864451e-75,-0.886771986309203,1,1,3.161334668889e-71,"Significant"
"ITPRID2",2.29345472286615e-75,-1.13412566183025,1,1,3.44316357543896e-71,"Significant"
