"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","Significance"
"SPC25",5.14947849924202e-28,-3.25036958654413,0.031,0.305,7.73091207091205e-24,"SPC25","Downregulated"
"SLC25A18",1.87409752202066e-49,-2.97064399014173,0.066,0.545,2.81358260980961e-45,"SLC25A18","Downregulated"
"BRIP1",6.00617516942108e-32,-2.95368338286037,0.05,0.378,9.01707078185186e-28,"BRIP1","Downregulated"
"SPATA9",8.53075861497345e-30,-2.93682927714949,0.037,0.335,1.28072279086596e-25,"SPATA9","Downregulated"
"POF1B",3.83961293765816e-22,-2.84680740659775,0.041,0.279,5.76441090330619e-18,"POF1B","Downregulated"
"STRC",3.71441324481875e-23,-2.82469356681894,0.042,0.292,5.57644860444639e-19,"STRC","Downregulated"
"KRT24",2.55453824145402e-33,-2.7012480840565,0.053,0.403,3.83512826189492e-29,"KRT24","Downregulated"
"EPO",4.65426740999886e-35,-2.68574497386523,0.063,0.433,6.98745166263129e-31,"EPO","Downregulated"
"CAMP",2.98703443879378e-31,-2.68359421949263,0.044,0.365,4.4844348029611e-27,"CAMP","Downregulated"
"ZNF750",3.54968895207133e-24,-2.61056876146609,0.037,0.292,5.32914802374468e-20,"ZNF750","Downregulated"
