"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","significance"
"VIM",1.04164683746839e-96,1.75656256909682,1,1,1.5638243970913e-92,"Significant"
"CD74",2.95425431168261e-95,2.5719065751083,1,1,4.43522199812911e-91,"Significant"
"ZFP36L2",8.5710553996594e-90,2.4929806902014,1,0.85,1.28677254715087e-85,"Significant"
"FTL",9.19140347249744e-87,2.16019609862739,1,1,1.37990540332604e-82,"Significant"
"COL3A1",1.00366482794148e-84,1.46441163949769,1,1,1.50680200618854e-80,"Significant"
"CEBPD",2.07119985283312e-84,2.64177153190465,0.994,0.742,3.10949233905836e-80,"Significant"
"KCTD12",5.05144493608696e-83,2.10819490354634,1,0.88,7.58373428254735e-79,"Significant"
"MAFB",3.15911422443392e-81,2.23653727670376,1,0.893,4.74277818514264e-77,"Significant"
"C1R",1.05306277844219e-80,2.26413860259642,0.996,0.807,1.58096314927526e-76,"Significant"
"CXCR4",1.69072374082625e-80,2.8251540227109,0.994,0.734,2.53828355210244e-76,"Significant"
"TIMP2",9.2172818533933e-78,1.58691219673777,1,0.953,1.38379052464994e-73,"Significant"
"LY6E",1.21632162969097e-76,1.92597923580125,1,0.91,1.82606366265506e-72,"Significant"
"COL6A3",1.44041220040356e-76,1.4480401388633,1,1,2.16249083646586e-72,"Significant"
"C1QC",7.19376271886919e-76,2.14787086092359,1,0.871,1.07999959698383e-71,"Significant"
"COL1A1",8.20552573934262e-76,1.40889451397981,1,1,1.23189557924751e-71,"Significant"
"IGFBP4",2.67112664757336e-75,1.77641838136937,0.998,0.893,4.01016243600189e-71,"Significant"
"CCN1",4.28357759842335e-75,2.13050103780844,0.998,0.854,6.43093504851298e-71,"Significant"
"TXNIP",1.2855741166403e-74,1.80097335252238,0.998,0.953,1.93003242131209e-70,"Significant"
"C1QA",2.3597683976689e-73,2.21749314425012,0.998,0.88,3.54272029542033e-69,"Significant"
"IFITM3",1.94535117144679e-71,1.62824231377527,1,0.97,2.92055571369307e-67,"Significant"
"FXYD5",2.1792663610815e-71,1.90936188643959,1,0.841,3.27173258789166e-67,"Significant"
"ZFP36L1",3.08682310304919e-71,1.37153387063222,1,0.987,4.63424752460775e-67,"Significant"
"CD44",2.14804950693499e-70,1.90786368467394,0.998,0.841,3.22486672476151e-66,"Significant"
"CYBA",4.06805071971384e-69,2.10878097229943,0.993,0.76,6.10736454550639e-65,"Significant"
"COL1A2",7.51782869395594e-69,1.26730266075309,1,1,1.12865162182361e-64,"Significant"
"ZFP36",8.93861616526872e-69,1.5343218009209,1,0.94,1.34195444489179e-64,"Significant"
"COL6A2",7.29379445988202e-68,1.13304642288118,1,1,1.09501736226209e-63,"Significant"
"KLF6",3.7188307964575e-67,1.19060461647731,1,0.983,5.58308067472165e-63,"Significant"
"MMP2",1.29858838666539e-66,2.37986995586468,0.989,0.7,1.94957074490075e-62,"Significant"
"WIPF1",2.78227702810155e-66,2.27392172043588,0.996,0.721,4.17703250228886e-62,"Significant"
"FOS",3.34334125676528e-66,1.70645991509373,1,0.867,5.01935822878172e-62,"Significant"
"APOE",6.22586564317383e-66,1.89682411964839,1,1,9.34689209009687e-62,"Significant"
"SAT1",1.41637396140478e-65,1.49372626898625,1,1,2.126402228257e-61,"Significant"
"SAMHD1",1.58138853751909e-65,1.89150842894907,0.998,0.828,2.37413861137741e-61,"Significant"
"IKZF1",2.29444114614684e-65,3.00874594079784,0.924,0.391,3.44464449271025e-61,"Significant"
"MAF",9.61406305997411e-65,1.92342412646663,0.998,0.837,1.44335928719391e-60,"Significant"
"COL6A1",9.50699270164784e-64,1.11789353690673,1,0.996,1.42728481429839e-59,"Significant"
"LAPTM5",2.53961783406e-63,1.75362998765227,1,0.888,3.81272825427428e-59,"Significant"
"C1QB",9.31423277521738e-63,1.99717938524301,0.998,0.863,1.39834576654339e-58,"Significant"
"CTSZ",1.07850669300339e-62,1.30010747238616,1,0.996,1.619162098206e-58,"Significant"
"FCGRT",1.275495330789e-62,1.72875168377995,0.994,0.803,1.91490114011353e-58,"Significant"
"TRIM22",1.85143437545794e-62,2.33469479582255,0.982,0.622,2.77955842787501e-58,"Significant"
"MARCKS",2.20282575433736e-61,0.860836537072669,1,1,3.30710230498668e-57,"Significant"
